activity_id,employee_id,start_date,sport_type,distance_m,end_date,comment
1,17027,2025-06-04 22:51:18,Tennis,,2025-06-05 00:13:18,
2,17027,2025-06-27 18:21:18,Tennis,,2025-06-27 19:26:18,Reprise du sport :)
3,17027,2025-06-28 20:11:18,Tennis,,2025-06-28 21:24:18,Objectif atteint !
4,17027,2025-07-12 23:41:18,Tennis,,2025-07-13 00:46:18,Objectif atteint !
5,17027,2025-07-20 19:21:18,Tennis,,2025-07-20 19:51:18,Objectif atteint !
6,17027,2025-07-20 23:03:18,Tennis,,2025-07-21 00:15:18,Reprise du sport :)
7,17027,2025-07-27 03:57:18,Tennis,,2025-07-27 04:43:18,Reprise du sport :)
8,17027,2025-08-16 22:02:18,Tennis,,2025-08-16 22:46:18,
9,17027,2025-09-05 18:14:18,Tennis,,2025-09-05 19:25:18,Super conditions aujourd'hui
10,17027,2025-09-08 21:35:18,Tennis,,2025-09-08 22:15:18,Séance de récupération
11,17027,2025-09-13 02:38:18,Tennis,,2025-09-13 03:22:18,Belle séance !
12,17027,2025-09-17 22:51:18,Tennis,,2025-09-17 23:49:18,
13,17027,2025-10-15 05:10:18,Tennis,,2025-10-15 06:06:18,Objectif atteint !
14,17027,2025-10-17 21:44:18,Tennis,,2025-10-17 22:50:18,Reprise du sport :)
15,17027,2025-10-25 18:18:18,Tennis,,2025-10-25 18:58:18,Nouveau record personnel !
16,17027,2025-11-21 00:41:18,Tennis,,2025-11-21 01:25:18,Belle séance !
17,17027,2026-01-02 01:42:18,Tennis,,2026-01-02 03:08:18,Bonne sortie
18,17027,2026-01-09 01:28:18,Tennis,,2026-01-09 02:31:18,Objectif atteint !
19,17027,2026-01-18 04:35:18,Tennis,,2026-01-18 05:26:18,Reprise du sport :)
20,17027,2026-01-19 18:38:18,Tennis,,2026-01-19 20:06:18,Reprise du sport :)
21,17027,2026-01-19 23:38:18,Tennis,,2026-01-20 00:57:18,
22,17027,2026-02-08 19:01:18,Tennis,,2026-02-08 19:40:18,Nouveau record personnel !
23,17027,2026-02-22 22:12:18,Tennis,,2026-02-22 22:55:18,Nouveau record personnel !
24,17027,2026-02-28 20:43:18,Tennis,,2026-02-28 21:30:18,Bonne sortie
25,17027,2026-03-04 01:48:18,Tennis,,2026-03-04 03:15:18,Reprise du sport :)
26,17027,2026-03-06 05:57:18,Tennis,,2026-03-06 06:30:18,
27,17027,2026-03-18 01:44:18,Tennis,,2026-03-18 02:44:18,Belle séance !
28,17027,2026-03-28 23:45:18,Tennis,,2026-03-29 01:00:18,
29,17027,2026-03-31 20:22:18,Tennis,,2026-03-31 21:13:18,Reprise du sport :)
30,17027,2026-04-06 07:52:18,Tennis,,2026-04-06 08:55:18,Nouveau record personnel !
31,89328,2025-05-15 04:04:18,Tennis de table,,2025-05-15 04:28:18,Nouveau record personnel !
32,89328,2025-05-22 23:39:18,Tennis de table,,2025-05-23 00:21:18,Reprise du sport :)
33,89328,2025-06-15 23:11:18,Tennis de table,,2025-06-15 23:57:18,Reprise du sport :)
34,89328,2025-06-24 02:13:18,Tennis de table,,2025-06-24 03:03:18,
35,89328,2025-06-29 22:37:18,Tennis de table,,2025-06-29 23:19:18,
36,89328,2025-07-01 22:15:18,Tennis de table,,2025-07-01 22:46:18,Super conditions aujourd'hui
